,Molecule,A1,A2,Reduced mass,Electronic state,Te (cm^{-1}),omega_e (cm^{-1}),omega_ex_e (cm^{-1}),Be (cm^{-1}),alpha_e (cm^{-1}),De (10^{-7}cm^{-1}),Re (\AA),D0 (eV),IP (eV),Dipole moment (D),Frank-Condon factor,lambda00,recoil,N_photon,Reference,Date of reference,p1,g1,p2,g2,g1iso,g2iso,g_average,g1_lan_act,g2_lan_act,g1_lan_act_iso,g2_lan_act_iso,atom1,atom2,geometry,type1,type2,type,geometry_theta,e1,e2,n1,n2,sum_p,sum_g,diff_p,diff_g,product_p,product_g,Reduced_g,Reduced_p,g_average_lan_act,g_average_lan_act_iso,Re (\AA)^-1,Re (au),Re (au)^-1,Re (au)^2,Re (au)^-2,4*(np.pi**2)*Re (au),4*(np.pi**2)*Re (au)^-1,omega_e (au)^-2,4*(np.pi**2)*omega_e (au)^-2,omega_e (au),omega_e (au)^2,4*(np.pi**2)*omega_e (au)^2,K,sqrt(K),4*(np.pi**2)*omega_e (au),4*(np.pi**2)*Re (au)*omega_e (au)^2,ve1,ve2,log(D_e)/(R_e^3*Z_1*Z_2),ln(Re (\AA)),rcat,mu^(1/2)
84,AgCl,107.0,35.0,26.37323944,X $^1\Sigma$,0,343.49,1.17,0.12298,0.0006,0.63054,2.2808,3.22,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",10/1/1974 0:00,5.0,11.0,3.0,17.0,11.0,17.0,14.0,11.0,17.0,11,17,Ag,Cl,"Ag
Cl 1 AgCl2
AgCl2= 2.2808",Transition Metal,Halogen,Transition Metal-Halogen,Ag\nCl 1 AgCl2\nAgCl2= {0},47.0,17.0,60.0,18.0,8.0,28.0,2.0,0,15.0,121,6.678571428571429,1.875,14.0,14.0,0.4384426517011575,4.310087034750755,0.23201387627148654,18.576850247126558,0.05383043878252066,170.15541586901696,0.00587698014131848,400549.4508386904,10146.036116566125,0.001580054,2.496570642916e-06,9.856065841981696e-05,0.002599363843869885,0.050983956730229214,0.06237803164943538,0.00042480501599175105,2.0,7.0,-13.19369124531618,0.8245262586163252,2.261,5.135488237743321
85,AuH,197.0,1.0,0.994949495,X $^1\Sigma^+$,0,2305.1,43.12,7.2401,0.2136,2790.0,1.5239,3.22,,1.624,0.4902,361.46,0.56,3.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",11/1/1974 0:00,6.0,11.0,1.0,1.0,11.0,1.0,6.0,11.0,1.0,11,1,Au,H,"Au
H 1 AuH2
AuH2= 1.5239",Transition Metal,H,Transition Metal-H,Au\nH 1 AuH2\nAuH2= {0},79.0,1.0,118.0,0.0,7.0,12.0,5.0,0,6.0,121,0.9166666666666666,0.8571428571428571,6.0,6.0,0.6562110374696503,2.879753433995386,0.3472519515716297,8.292979840608217,0.12058391787030545,113.68810866485221,0.008795994688837318,8894.15707825476,225.29163066741228,0.01060346,0.00011243336397160001,0.00443869129553354,0.004416273662951991,0.06645504994319086,0.41860782193109985,0.012782336500758142,2.0,1.0,-9.670017891108985,0.421272838313678,1.509739,0.9974715509727583
86,CuI,63.0,127.0,42.11052632,X $^1\Sigma^+$,0,264.5,0.6,0.07328742,0.0002839,0.22439,2.338324,3.27,,4.58,0.2236,506.73,0.41,1.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",8/1/1975 0:00,4.0,11.0,5.0,17.0,11.0,17.0,14.0,11.0,17.0,11,17,Cu,I,"Cu
I 1 CuI2
CuI2= 2.338324",Transition Metal,Halogen,Transition Metal-Halogen,Cu\nI 1 CuI2\nCuI2= {0},29.0,53.0,34.0,74.0,9.0,28.0,1.0,0,20.0,121,6.678571428571429,2.2222222222222223,14.0,14.0,0.42765673191567977,4.418791632517768,0.2263062129114727,19.52571949160904,0.051214502002332817,174.44690137517676,0.0057324033394513295,675511.8686118067,17110.9155230489,0.0012167,1.48035889e-06,5.844222646374303e-05,0.0024610329157008512,0.049608798773008514,0.04803339069922169,0.00025824402128369614,2.0,7.0,-13.907233942181028,0.8494344334314492,2.261,6.489262386434994
87,MgCl,24.0,35.0,14.23728814,X $^2\Sigma^+$,0,462.12,2.1,0.24502,0.00158,2.52,2.1991,3.29,,3.979,0.9676,377.79,1.76,69.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",3/1/1977 0:00,3.0,2.0,3.0,17.0,2.0,17.0,9.5,2.0,17.0,2,17,Mg,Cl,"Mg
Cl 1 MgCl2
MgCl2= 2.1991",Alkaline Earth Metal,Halogen,Alkaline Earth Metal-Halogen,Mg\nCl 1 MgCl2\nMgCl2= {0},12.0,17.0,12.0,18.0,6.0,19.0,0.0,0,9.0,4,1.7894736842105263,1.5,9.5,9.5,0.4547314810604338,4.155696421483859,0.24063355418125892,17.269812747533752,0.05790450739790487,164.06031876427355,0.006095319133426944,221296.63353690458,5605.509211505959,0.002125752,4.518821565503999e-06,0.00017839592484254307,0.00253987418498507,0.050397164453816944,0.08392132517929801,0.0007413593064754597,2.0,7.0,-11.697509869588178,0.7880481857546652,2.1456,3.7732331149824283
88,RbI,85.0,127.0,50.91981132,X,0,138.51,0.335,0.03283293,0.00010946,7.38e-09,3.176879,3.3,7.12,,,,,,,,5.0,1.0,5.0,17.0,1.0,17.0,9.0,1.0,17.0,1,17,Rb,I,"Rb
I 1 RbI2
RbI2= 3.176879",Alkali Metal,Halogen,Alkali Metal-Halogen,Rb\nI 1 RbI2\nRbI2= {0},37.0,53.0,48.0,74.0,10.0,18.0,0.0,0,25.0,1,0.9444444444444444,2.5,9.0,9.0,0.3147743429951219,6.003430808870547,0.1665714208819431,36.04118147689607,0.02774603825462943,237.0059485314568,0.004219303381186123,2463327.06245375,62396.80341650423,0.000637146,4.05955025316e-07,1.602646201801254e-05,0.000816064422084345,0.02856684130393742,0.02515351586294592,9.621375583613014e-05,1.0,7.0,-15.06111804593274,1.1558992683171945,2.906272,7.13581188933677
89,GeH,72.0,1.0,0.98630137,X $^2\Pi$,0,1833.77,37.0,6.725,0.1916,3260.0,1.588,3.3,,0.062,0.8996,392.86,1.37,21.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",9/1/1976 0:00,4.0,14.0,1.0,1.0,14.0,1.0,7.5,14.0,1.0,14,1,Ge,H,"Ge
H 1 GeH2
GeH2= 1.588",Metalloid,H,Metalloid-H,Ge\nH 1 GeH2\nGeH2= {0},32.0,1.0,40.0,0.0,5.0,15.0,3.0,0,4.0,196,0.9333333333333333,0.8,7.5,7.5,0.6297229219143576,3.000884869863293,0.3332350434508857,9.005310002174433,0.1110455941837137,118.4701860750609,0.0084409422583874,14053.82720947375,355.9876018921934,0.008435342,7.1154994656964e-05,0.002809086593703447,0.0027706059558183426,0.052636545819595176,0.33301395411157564,0.008429745457180489,4.0,1.0,-8.86537240605937,0.462475362824944,1.5719,0.9931270663918087
90,KI,39.0,127.0,29.8373494,X,0,186.53,0.574,0.06087473,0.00026776,2.8934,3.047844,3.31,7.21,,,,,,,,4.0,1.0,5.0,17.0,1.0,17.0,9.0,1.0,17.0,1,17,K,I,"K
I 1 KI2
KI2= 3.047844",Alkali Metal,Halogen,Alkali Metal-Halogen,K\nI 1 KI2\nKI2= {0},19.0,53.0,20.0,74.0,9.0,18.0,1.0,0,20.0,1,0.9444444444444444,2.2222222222222223,9.0,9.0,0.3281007820610241,5.759590015934268,0.17362346924580344,33.17287715164971,0.030145109072948453,227.37949987894075,0.0043979338530184585,1358272.65092511,34405.44817518701,0.000858038,7.36229209444e-07,2.9065164182956165e-05,0.0008672274590952287,0.029448725933310403,0.03387398248440764,0.00016740342943964462,1.0,7.0,-14.267218952823557,1.1144344554122403,2.906272,5.462357494708672
91,AuF,196.967,18.998,17.32678474,X $^1 \Sigma^{+}$,0,448.0,27.0,0.264344,0.0018689,,1.918,3.323057958,,5.68,0.502187417,565.4509009,2.145894437,3.0,"[1] Evans, C. and Gerry, M., 2000. Confirmation of the Existence of Gold(I) Fluoride, AuF:â€‰ Microwave Spectrum and Structure. Journal of the American Chemical Society, 122(7), pp.1560-1561. 
[2] Andreev, S. and BelBruno, J., 2000. Detection of AuF by emission spectroscopy in a hollow cathode discharge. Chemical Physics Letters, 329(5-6), pp.490-494. 
[3] SchrÃ¶der, D., HruÅ¡Ã¡k, J., Tornieporth-Oetting, I., KlapÃ¶tke, T. and Schwarz, H., 1994. Definitiver Beweis fÃ¼r die Existenz von AuF. Angewandte Chemie, 106(2), pp.223-225. 
[4] van WÃ¼llen, C., 1998. Molecular density functional calculations in the regular relativistic approximation: Method, application to coinage metal diatomics, hydrides, fluorides and chlorides, and comparison with first-order relativistic calculations. The Journal of Chemical Physics, 109(2), pp.392-399. 
[5] Figgen, D., Rauhut, G., Dolg, M. and Stoll, H., 2005. Energy-consistent pseudopotentials for group 11 and 12 atoms: adjustment to multi-configuration Diracâ€“Hartreeâ€“Fock data. Chemical Physics, 311(1-2), pp.227-244.",[1] 2000 [2] 2000 [3] 1995 [4] 1998 [5] 2005,6.0,11.0,2.0,17.0,11.0,17.0,14.0,11.0,17.0,11,17,Au,F,"Au
F 1 AuF2
AuF2= 1.918",Transition Metal,F,Transition Metal-F,Au\nF 1 AuF2\nAuF2= {0},79.0,9.0,117.96700000000001,9.998000000000001,8.0,28.0,4.0,0,12.0,121,6.678571428571429,1.5,14.0,14.0,0.5213764337851929,3.62449444609433,0.27590054692388244,13.136959989768643,0.07612111179289746,143.08930534758613,0.006988642495474031,235466.0555148336,5964.424863088838,0.0020608,4.246896639999999e-06,0.0001676607590764624,0.002905021881862865,0.053898254905542765,0.08135712299905978,0.0006076854901005974,2.0,7.0,-12.525768811755317,0.6512829764612464,1.9102,4.162545464015979
92,AuAl,197.0,27.0,23.74553571,X $^1\Sigma^+$,0,333.0,1.163,0.12991,0.00067,0.718,2.3384,3.34,,1.51,0.6893,614.81,0.29,6.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",11/1/1974 0:00,6.0,11.0,3.0,13.0,11.0,13.0,12.0,11.0,13.0,11,13,Au,Al,"Au
Al 1 AuAl2
AuAl2= 2.3384",Transition Metal,Metal,Transition Metal-Metal,Au\nAl 1 AuAl2\nAuAl2= {0},79.0,13.0,118.0,14.0,9.0,24.0,3.0,0,18.0,121,5.958333333333333,2.0,12.0,12.0,0.42764283270612385,4.4189352516929,0.22629885776599662,19.52698875865419,0.05121117302619477,174.4525712329486,0.005732217031439955,426182.75217604224,10795.335224606428,0.0015318,2.3464112400000002e-06,9.263260280427816e-05,0.0021996107777992333,0.04690000829210197,0.060473040086354714,0.00040933747398789127,2.0,3.0,-13.482960090641892,0.8494669348148991,2.261,4.8729391243888935
93,MgBr,24.0,79.0,18.40776699,X $^2\Sigma^+$,0,373.8,1.34,0.1645,,,2.36,3.35,,4.009,0.9258,388.09,0.98,29.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",3/1/1977 0:00,3.0,2.0,4.0,17.0,2.0,17.0,9.5,2.0,17.0,2,17,Mg,Br,"Mg
Br 1 MgBr2
MgBr2= 2.36",Alkaline Earth Metal,Halogen,Alkaline Earth Metal-Halogen,Mg\nBr 1 MgBr2\nMgBr2= {0},12.0,35.0,12.0,44.0,7.0,19.0,1.0,0,12.0,4,1.7894736842105263,1.7142857142857142,9.5,9.5,0.42372881355932207,4.459753333046204,0.22422764788135868,19.889399791616725,0.05027803807440658,176.064004494423,0.005679752672169149,338225.02889252134,8567.340066213537,0.00171948,2.9566114704e-06,0.00011672234232228448,0.002148597679995628,0.04635296840543902,0.06788234950234051,0.0005205528552127682,2.0,7.0,-12.61341210581024,0.8586616190375187,2.3384,4.290427366824894
94,ScCl,45.0,35.0,19.6875,X $^1\Sigma^+$,0,447.4,1.8,0.1725,0.001,1.1,2.229,3.4,,2.782,0.236,804.43,0.61,1.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",5/1/1975 0:00,4.0,3.0,3.0,17.0,3.0,17.0,10.0,3.0,17.0,3,17,Sc,Cl,"Sc
Cl 1 ScCl2
ScCl2= 2.229",Transition Metal,Halogen,Transition Metal-Halogen,Sc\nCl 1 ScCl2\nScCl2= {0},21.0,17.0,24.0,18.0,7.0,20.0,1.0,0,12.0,9,2.55,1.7142857142857142,10.0,10.0,0.44863167339614174,4.212199228542368,0.2374056747420397,17.742622340932922,0.05636145439972315,166.29096017714784,0.006013555992067828,236098.0374865895,5980.4331534435705,0.0020580399999999997,4.235528641599999e-06,0.0001672119684883015,0.003291985629613436,0.05737582792094103,0.08124816256647176,0.0007043301246694745,2.0,7.0,-12.264752396625964,0.8015530544037318,2.209026,4.437059837324712
95,LuD,174.967,2.0,1.977396916,X $^1\Sigma^+$,0,1075.35,10.3,2.3203,0.0356,433.0,1.9102,3.4,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",3/1/1975 0:00,6.0,3.0,1.0,1.0,,0.0,2.0,3.0,1.0,3,0,Lu,D,"Lu
D 1 LuD2
LuD2= 1.9102",Lanthanide,D,Lanthanide-D,Lu\nD 1 LuD2\nLuD2= {0},71.0,1.0,103.96700000000001,1.0,7.0,4.0,5.0,0,6.0,9,0.75,0.8571428571428571,2.0,1.5,0.5235053921055387,3.6097545833834146,0.2770271432310787,13.03032815225757,0.07674403808677259,142.50739889205371,0.0070171795133070845,40868.119796264175,1035.2015677485858,0.00494661,2.44689504921e-05,0.0009659954458674711,0.0019101564155283822,0.04370533623630394,0.1952843353058905,0.0034870064882476085,3.0,1.0,-10.186661174531945,0.6472079486185001,1.8388,1.4061994581139619
96,TlBr,205.0,81.0,58.05944056,X,0,192.1,0.39,0.0423895,0.00012755,8.3,2.618191,3.42,9.14,,,,,,,,6.0,13.0,4.0,17.0,13.0,17.0,15.0,13.0,17.0,13,17,Tl,Br,"Tl
Br 1 TlBr2
TlBr2= 2.618191",Metal,Halogen,Metal-Halogen,Tl\nBr 1 TlBr2\nTlBr2= {0},81.0,35.0,124.0,46.0,10.0,30.0,2.0,0,24.0,169,7.366666666666666,2.4,15.0,15.0,0.3819431049911943,4.947663575763379,0.20211560157376085,24.479374858935664,0.040850716399523236,195.32592880985501,0.005119647996009149,1280647.5025899163,32439.18019775354,0.00088366,7.808549955999999e-07,3.082691960474548e-05,0.0017897937064396189,0.042305953557857774,0.03488549850026649,0.00015252122728138523,3.0,7.0,-14.813740412190059,0.9624836212818249,2.5371,7.619674570478716
97,BH,11.0,1.0,0.916666667,X $^1\Sigma^+$,0,2366.9,49.395,12.021,0.412,12420.0,1.2324,3.42,9.77,1.27,0.9954,432.23,7.78,501.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",4/1/1976 0:00,2.0,13.0,1.0,1.0,13.0,1.0,7.0,13.0,1.0,13,1,B,H,"B
H 1 BH2
BH2= 1.2324",Metalloid,H,Metalloid-H,B\nH 1 BH2\nBH2= {0},5.0,1.0,6.0,0.0,3.0,14.0,1.0,0,2.0,169,0.9285714285714286,0.6666666666666666,7.0,7.0,0.8114248620577735,2.328898308324636,0.42938757627394236,5.423767330517352,0.18437369065841067,91.94121997412157,0.010876514367347608,8435.765864079114,213.68044556953097,0.01088774,0.00011854288230759999,0.004679885411763627,0.0042898949623432865,0.06549728973280716,0.42983074648766656,0.010898977218609454,3.0,1.0,-6.21282070783796,0.20896348774037576,1.20752,0.9574271079304157
98,InI,115.0,127.0,60.35123967,X,0,177.1,0.4,0.036867,0.00010411,0.76,2.75365,3.43,8.5,,,,,,,,5.0,13.0,5.0,17.0,13.0,17.0,15.0,13.0,17.0,13,17,In,I,"In
I 1 InI2
InI2= 2.75365",Metal,Halogen,Metal-Halogen,In\nI 1 InI2\nInI2= {0},49.0,53.0,66.0,74.0,10.0,30.0,0.0,0,25.0,169,7.366666666666666,2.5,15.0,15.0,0.36315435876019103,5.2036439684502875,0.19217302453107932,27.077910550389056,0.03693047135742281,205.4316296508762,0.004867799577404242,1506770.8656419541,38166.95189615816,0.0008146599999999999,6.636709155999999e-07,2.620067755792305e-05,0.0015812433708146043,0.03976485094671681,0.03216148768556582,0.0001363389977435971,3.0,7.0,-14.874466746815934,1.0129273043579292,2.6663,7.768606031328916
99,CuBr,63.0,79.0,35.04929577,X $^1\Sigma^+$,0,314.8,0.96,0.10192625,0.00045214,0.3,2.261,3.43,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",11/1/1975 0:00,4.0,11.0,4.0,17.0,11.0,17.0,14.0,11.0,17.0,11,17,Cu,Br,"Cu
Br 1 CuBr2
CuBr2= 2.261",Transition Metal,Halogen,Transition Metal-Halogen,Cu\nBr 1 CuBr2\nCuBr2= {0},29.0,35.0,34.0,44.0,8.0,28.0,0.0,0,16.0,121,6.678571428571429,2.0,14.0,14.0,0.44228217602830605,4.272670460176893,0.2340456651923956,18.255712861268222,0.054777373395350944,168.6782687126654,0.005928445955912955,476886.34729508124,12079.672292702151,0.00144808,2.0969356864e-06,8.278370271717911e-05,0.002901510481470163,0.05386567071401008,0.057167906964517914,0.0003537074811837567,2.0,7.0,-13.343638093442783,0.8158071932958328,2.209026,5.920244570117015
100,PtH,195.084,1.0,0.994900145,X $^2\Delta_{5/2}$,0,2294.68,46.0,7.1963,0.1996,2613.0,1.52852,3.44,,1.435,0.2429,448.21,0.45,1.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",AMY 1975,6.0,10.0,1.0,1.0,10.0,1.0,5.5,10.0,1.0,10,1,Pt,H,"Pt
H 1 PtH2
PtH2= 1.52852",Transition Metal,H,Transition Metal-H,Pt\nH 1 PtH2\nPtH2= {0},78.0,1.0,117.084,0.0,7.0,11.0,5.0,0,6.0,100,0.9090909090909091,0.8571428571428571,5.5,5.5,0.6542276188731583,2.88848396806262,0.3462023715751227,8.34333963375478,0.1198560820842393,114.03277633466756,0.008769408516943966,8975.11611156999,227.34234693792197,0.010555528,0.000111419171358784,0.004398652576033535,0.004376220085700388,0.06615300511466117,0.4167155424184878,0.012705437446950213,2.0,1.0,-9.60027007952173,0.4242999469867332,1.509739,0.9974468131183738
101,CaS,40.0,32.0,17.77777778,X $^1\Sigma^+$,0,462.23,1.78,0.17667,0.000837,1.02,2.3178,3.46,,13.342,0.5946,657.0,0.84,4.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",7/1/1976 0:00,4.0,2.0,3.0,16.0,2.0,16.0,9.0,2.0,16.0,2,16,Ca,S,"Ca
S 1 CaS2
CaS2= 2.3178",Alkaline Earth Metal,Nonmetal,Alkaline Earth Metal-Nonmetal,Ca\nS 1 CaS2\nCaS2= {0},20.0,16.0,20.0,16.0,7.0,18.0,1.0,0,12.0,4,1.7777777777777777,1.7142857142857142,9.0,9.0,0.4314436103201311,4.380006896328174,0.22831014280783782,19.184460411882366,0.0521255213089353,172.91574136320915,0.005783163476710325,221191.31915575688,5602.841567067848,0.0021262580000000002,4.520973082564001e-06,0.00017848086333152076,0.0031729931262903265,0.05632932740846749,0.08394130125860583,0.0007817474122546672,2.0,6.0,-12.255040669735846,0.8406184599181536,2.261,4.216370213821363
102,CH,12.0,1.0,0.923076923,X $^2\Pi$,0,2858.5,63.02,14.457,0.534,14500.0,1.1199,3.46,10.64,1.46,0.9924,431.22,7.08,300.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",8/1/1976 0:00,2.0,14.0,1.0,1.0,14.0,1.0,7.5,14.0,1.0,14,1,C,H,"C
H 1 CH2
CH2= 1.1199",Nonmetal,H,Nonmetal-H,C\nH 1 CH2\nCH2= {0},6.0,1.0,6.0,0.0,3.0,15.0,1.0,0,2.0,196,0.9333333333333333,0.6666666666666666,7.5,7.5,0.892936869363336,2.1163041346095097,0.47252187606036844,4.478743190165305,0.2232769233556102,83.5483384039425,0.01196911894483364,5783.729105137261,146.5035696997866,0.0131491,0.00017289883081,0.006825772246022321,0.006300712841957083,0.07937702968716506,0.5191056609214563,0.014445410026159879,4.0,1.0,-6.0963419502352,0.11323939560651071,0.74144,0.9607689227904908
103,GaI,69.0,127.0,44.70918367,X,0,216.6,0.5,0.0569347,0.000189,0.157,2.57467,3.47,,,,,,,,,4.0,13.0,5.0,17.0,13.0,17.0,15.0,13.0,17.0,13,17,Ga,I,"Ga
I 1 GaI2
GaI2= 2.57467",Metal,Halogen,Metal-Halogen,Ga\nI 1 GaI2\nGaI2= {0},31.0,53.0,38.0,74.0,9.0,30.0,1.0,0,20.0,169,7.366666666666666,2.2222222222222223,15.0,15.0,0.3883992900060979,4.865420811014436,0.2055320677989826,23.672319668252374,0.04224343089372558,192.07911459815932,0.005206188096462534,1007319.9425957861,25515.712222584192,0.00099636,9.927332495999999e-07,3.9191537797439595e-05,0.0017522216616954742,0.041859546840541335,0.03933471616427757,0.00019068332361532147,3.0,7.0,-14.203421519025635,0.9457213705632963,2.5371,6.686492628426357
104,BiO,209.0,16.0,14.86222222,X $^2\Pi_{1/2}$,0,692.4,4.34,0.3034,0.0022,2.21,1.934,3.47,,4.621,0.0036,704.87,0.25,0.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",5/1/1976 0:00,6.0,15.0,2.0,16.0,15.0,16.0,15.5,15.0,16.0,15,16,Bi,O,"Bi
O 1 BiO2
BiO2= 1.934",Metal,Nonmetal,Metal-Nonmetal,Bi\nO 1 BiO2\nBiO2= {0},83.0,8.0,126.0,8.0,8.0,31.0,4.0,0,12.0,225,7.741935483870968,1.5,15.5,15.5,0.5170630816959669,3.6547300619115926,0.2736180191313374,13.357051825440314,0.0748668203933569,144.28295961534494,0.006930825391064732,98575.77909931653,2496.9536542020937,0.00318504,1.01444798016e-05,0.00040048800998653385,0.005952141800865445,0.07715012508651846,0.1257403392065826,0.0014636755695329354,5.0,6.0,-12.43903162986822,0.6595903970311026,1.9102,3.855155278325375
105,NH,14.007,1.0,0.93336443,X $^3\Sigma^-$,0,3282.27,78.35,16.6993,0.649,17097.0,1.03621,3.47,13.63,1.39,0.9995,335.49,7.89,4360.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",3/1/1977 0:00,2.0,15.0,1.0,1.0,15.0,1.0,8.0,15.0,1.0,15,1,N,H,"N
H 1 NH2
NH2= 1.03621",Nonmetal,H,Nonmetal-H,N\nH 1 NH2\nNH2= {0},7.0,1.0,7.007,0.0,3.0,16.0,1.0,0,2.0,225,0.9375,0.6666666666666666,8.0,8.0,0.9650553459240887,1.958152966625342,0.5106853330888589,3.834363040703628,0.26079950943207875,77.30478054964664,0.012935810604336177,4386.677731493739,111.11584500310772,0.015098442,0.000227962950827364,0.008999616571084276,0.008399921991088629,0.09165108832462728,0.5960625984511696,0.017622625887159262,5.0,1.0,-6.014597916349523,0.03556982599857707,0.74144,0.966107876999251
106,SrS,88.0,32.0,23.46666667,X $^1\Sigma^+$,0,388.38,1.31,0.12072,0.00044,0.475,2.4405,3.48,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",9/1/1977 0:00,5.0,2.0,3.0,16.0,2.0,16.0,9.0,2.0,16.0,2,16,Sr,S,"Sr
S 1 SrS2
SrS2= 2.4405",Alkaline Earth Metal,Nonmetal,Alkaline Earth Metal-Nonmetal,Sr\nS 1 SrS2\nSrS2= {0},38.0,16.0,50.0,16.0,8.0,18.0,2.0,0,15.0,4,1.7777777777777777,1.875,9.0,9.0,0.4097520999795124,4.611876275126805,0.216831489039134,21.2694027770775,0.04701589463892808,182.06957752908446,0.005492405780093912,313307.3778091152,7936.168590874166,0.001786548,3.191753756304e-06,0.0001260053876816458,0.0029569264313493056,0.05437762804085248,0.07053008801422957,0.0005811212579871377,2.0,6.0,-13.045884280472226,0.8922029363450652,2.372,4.844240566900038
107,PbS,207.2,32.065,27.76782229,X $^1\Sigma^+$,0,429.4,1.3,0.11631868,0.00043509,0.3415,2.286863,3.49,,3.59,0.0011,530.42,0.31,0.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",7/1/1977 0:00,6.0,14.0,3.0,16.0,14.0,16.0,15.0,14.0,16.0,14,16,Pb,S,"Pb
S 1 PbS2
PbS2= 2.286863",Metal,Nonmetal,Metal-Nonmetal,Pb\nS 1 PbS2\nPbS2= {0},82.0,16.0,125.19999999999999,16.064999999999998,9.0,30.0,3.0,0,18.0,196,7.466666666666667,2.0,15.0,15.0,0.43728023934971183,4.3215444434195085,0.2313987541011449,18.67574637645003,0.05354538339956213,170.60773623310575,0.005861398914722567,256306.87551834196,6492.329000796933,0.00197524,3.9015730576e-06,0.0001540279304818425,0.004277020201316277,0.0653989311939903,0.07797934958883097,0.0006656385471052128,4.0,6.0,-13.617082144873633,0.8271810094422293,2.261,5.2695182218111745
108,LiO,6.941,15.999,4.840848256,X $^2\Pi$,0,851.5,12.5,1.202,0.0151,,1.695,3.49,8.45,6.84,0.5448,4291.96,0.4,3.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",1/1/1977 0:00,2.0,1.0,2.0,16.0,1.0,16.0,8.5,1.0,16.0,1,16,Li,O,"Li
O 1 LiO2
LiO2= 1.695",Alkali Metal,Nonmetal,Alkali Metal-Nonmetal,Li\nO 1 LiO2\nLiO2= {0},3.0,8.0,3.941,7.9990000000000006,4.0,17.0,0.0,0,4.0,1,0.9411764705882353,1.0,8.5,8.5,0.5899705014749262,3.2030855506412355,0.3121989669616558,10.259757044726667,0.09746819497192502,126.45274899069788,0.007908092216117516,65180.10144241212,1651.031257018211,0.0039169,1.534210561e-05,0.0006056820522017349,0.0029320149060912694,0.054148083124809405,0.15463301391450762,0.0019400514296901079,1.0,6.0,-8.717333199888097,0.5276827408324136,1.67647,2.200192777008415
109,TeS,130.0,32.0,25.67901235,X$_1$ $0^+$,0,471.18,1.57,0.13216,0.0005,0.4,2.2297,3.5,,1.632,0.0,424.64,0.59,0.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",11/1/1977 0:00,5.0,16.0,3.0,16.0,16.0,16.0,16.0,16.0,16.0,16,16,Te,S,"Te
S 1 TeS2
TeS2= 2.2297",Metalloid,Nonmetal,Metalloid-Nonmetal,Te\nS 1 TeS2\nTeS2= {0},52.0,16.0,78.0,16.0,8.0,32.0,2.0,0,15.0,256,8.0,1.875,16.0,16.0,0.44849082836256005,4.213522036734373,0.2373311427546336,17.75376795404618,0.05632607132122027,166.34318255136225,0.006011668074772028,212868.12802562997,5392.01267282138,0.002167428,4.697744135184e-06,0.00018545950476721488,0.004762416913342195,0.06901026672417804,0.08556662771137721,0.0007814377102585034,6.0,6.0,-13.08280349740565,0.8018670472741878,2.209026,5.0674463342002944
